Family,Genus,Species,Infraspecific rank,Infraspecific epithet,Authorship_edit,edited
Polygonaceae,Eriogonum,nudum,var.,indictum,(Jeps.) Reveal,(Jeps.) Reveal
Polygonaceae,Eriogonum,nudum,var.,oblongifolium,S.Watson,S.Watson
Polygonaceae,Eriogonum,nudum,var.,pauciflorum,S.Watson,S.Watson
Polygonaceae,Eriogonum,nudum,var.,scapigerum,(Eastw.) Jeps.,(Eastw.) Jeps.
Polygonaceae,Eriogonum,nudum,var.,westonii,(Stokes) J.T.Howell,(Stokes) J.T.Howell
Rhamnaceae,Ziziphus,nummularia,var.,saharae,(Maire) A.Chev.,(Maire) A.Chev.
Compositae,Olearia,nummulariifolia,var.,cymbifolia,Hook.f.,Hook.f.
Polypodiaceae,Pyrrosia,nummulariifolia,var.,rufa,(Alderw.) Ching,(Alderw.) Ching
Phyllanthaceae,Phyllanthus,nummulariifolius,var.,capillaris,(Schumach. & Thonn.) Radcl.-Sm.,(Schumach. & Thonn.) Radcl.-Sm.
Bromeliaceae,Billbergia,nutans,var.,schimperiana,(Wittm. ex Baker) Mez,(Wittm. ex Baker) Mez
Caryophyllaceae,Cerastium,nutans,var.,obtectum,Kearney & Peebles,Kearney & Peebles
Cyperaceae,Cyperus,nutans,var.,eleusinoides,(Kunth) Haines,(Kunth) Haines
Cyperaceae,Cyperus,nutans,var.,subprolixus,(Kk.) Karth.,(Kk.) Karth.
Orchidaceae,Bulbophyllum,nutans,var.,variifolium,(Schltr.) Bosser,(Schltr.) Bosser
Ranunculaceae,Delphinium,nuttallianum,var.,lineapetalum,(Ewan) C.L.Hitchc.,(Ewan) C.L.Hitchc.
Leguminosae,Astragalus,nuttallianus,var.,austrinus,(Small) Barneby,(Small) Barneby
Leguminosae,Astragalus,nuttallianus,var.,cedrosensis,(Vasey & Rose) M.E.Jones,(Vasey & Rose) M.E.Jones
Leguminosae,Astragalus,nuttallianus,var.,imperfectus,(Rydb.) Barneby,(Rydb.) Barneby
Leguminosae,Astragalus,nuttallianus,var.,macilentus,(Small) B.L.Turner,(Small) B.L.Turner
Leguminosae,Astragalus,nuttallianus,var.,pleianthus,(Shinners) Barneby,(Shinners) Barneby
Leguminosae,Astragalus,nuttallianus,var.,trichocarpus,Torr. & A.Gray,Torr. & A.Gray
Brassicaceae,Cardamine,nuttallii,var.,gemmata,(Greene) Rollins,(Greene) Rollins
Brassicaceae,Cardamine,nuttallii,var.,pulcherrima,(Greene) R.L.Taylor & MacBryde,(Greene) R.L.Taylor & MacBryde
Caryophyllaceae,Minuartia,nuttallii,var.,fragilis,(Maguire & A.H. Holmgren) Rabeler & R.L. Hartm.,(Maguire & A.H. Holmgren) Rabeler & R.L. Hartm.
Caryophyllaceae,Minuartia,nuttallii,var.,gracilis,(B.L. Rob.) Rabeler & R.L. Hartm.,(B.L. Rob.) Rabeler & R.L. Hartm.
Caryophyllaceae,Minuartia,nuttallii,var.,gregaria,(A. Heller) Rabeler & R.L. Hartm.,(A. Heller) Rabeler & R.L. Hartm.
Leguminosae,Astragalus,nuttallii,var.,virgatus,(A.Gray) Barneby,(A.Gray) Barneby
